Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6YZTEtVQgdTC8tUtjow5Xx,"Warg","Update","Recondite",2017-07-28,421680,36,false,gijsdehuu,2026-03-28T14:59:31Z,"melodieuze techno,minimal techno,techno","Hotflush Recordings",0.812,0.529,9,-10.572,1,0.0432,0.158,0.929,0.109,0.0582,122.012,4
spotify:track:4bGr8OqIy8bpi0Z670bH06,"Cleric","The Dystopian Episodes","Recondite",2023-04-21,496165,30,false,gijsdehuu,2026-03-28T14:59:50Z,"melodieuze techno,minimal techno,techno","Plangent Records",0.653,0.556,7,-13.776,1,0.0743,0.00248,0.909,0.107,0.0393,126.004,4
spotify:track:2sW7CSAb02YOAF32uRXBbX,"Black Russian","Klockworks 13","DVS1",2014-07-15,391611,32,false,gijsdehuu,2026-03-28T15:00:02Z,"minimal techno,techno,dub techno","Klockworks",0.818,0.549,6,-10.481,0,0.0592,0.109,0.869,0.109,0.416,130.009,4
spotify:track:11LPEAMF3f6tqSga1QYHCr,"Running","Klockworks 05","DVS1",2009-09-01,479999,25,false,gijsdehuu,2026-03-28T15:00:09Z,"minimal techno,techno,dub techno","Klockworks",0.539,0.655,1,-11.447,0,0.0971,0.0686,0.945,0.104,0.473,135.078,4
spotify:track:3pGVUxEMd499IevQvhJBiu,"Electric","Berghain 07, Pt. II","DVS1",2015-05-18,444755,25,false,gijsdehuu,2026-03-28T15:00:19Z,"minimal techno,techno,dub techno","Ostgut Ton",0.771,0.473,6,-11.977,0,0.0709,0.462,0.939,0.105,0.12,130.016,4
spotify:track:75FeNPsfreU3K6ddpYWFtH,"Waterfall","Merchant of Salt","Rrose",2012-08-01,434090,28,false,gijsdehuu,2026-03-28T15:00:32Z,"dub techno,minimal techno,drone,techno","Eaux",0.747,0.702,2,-11.635,1,0.0421,0.00000359,0.91,0.0808,0.0398,125,4
spotify:track:6laqIOvuENmYclQzV2YWt1,"It Never Ends","It Never Ends","nthng",2017-03-17,556304,32,false,gijsdehuu,2026-03-28T15:01:17Z,"dub techno,lo-fi house,minimal techno,ambient","Lobster Theremin",0.558,0.476,9,-17.407,0,0.034,0.102,0.862,0.112,0.0374,126.037,4
spotify:track:6KDyFNoR1bsTvoI58cEzO9,"Human","Remember Us","nthng",2014-11-14,518688,21,false,gijsdehuu,2026-03-28T15:01:26Z,"dub techno,lo-fi house,minimal techno,ambient","Mörk",0.754,0.417,11,-18.157,0,0.124,0.719,0.907,0.109,0.0377,128.009,4
spotify:track:6SLmXcSlZeQyNhFhVagomK,"Calm Down","Mdr 18","Answer Code Request",2015-10-30,354711,32,false,gijsdehuu,2026-03-28T15:01:40Z,"dub techno,idm,minimal techno,breakbeat","Marcel Dettmann Records",0.65,0.541,2,-9.336,1,0.0349,0.00572,0.918,0.0951,0.7,129.971,4
spotify:track:7p6oXzBSPAXXz8Xb8gBPki,"Subzero - Original Mix","Before One EP","Ben Klock",2009-01-26,383972,47,false,gijsdehuu,2026-03-28T15:01:51Z,"techno,minimal techno,dub techno","Ostgut Ton",0.793,0.608,6,-11.638,0,0.0673,0.588,0.861,0.0991,0.118,124.988,4
