TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0.174074,1.2276,0.711473,0.109143,0.40067,0.972014,1.64226,0.40322,0.390786,1.51876,0.820389,0.219682
0.085333333,0.258294,1.76981,0.673061,0.300086,0.481971,0.756649,1.89199,0,0.162068,0.898569,0.845826,0.243492
0.128000000,0.41421,1.96526,0.476466,0.31576,0.309085,0.579798,2.08772,0,0.00791689,0.843123,1.08072,0.405293
0.170666667,0.367736,1.89468,0.398447,0.274842,0.305488,0.368019,2.35209,0.041884,0.0694281,0.787241,1.12224,0.474905
0.213333333,0.273795,1.81036,0.275815,0.232023,0.240704,0.149838,2.70372,0,0.0246326,0.654971,1.05607,0.532282
0.256000000,0.21902,1.72993,0.244546,0.00737121,0.26285,0.0371356,3.09483,0,0.00622397,0.382428,1.15917,0.530152
0.298666667,0.1512,1.98385,0.00711645,0.0583401,0.260857,0.294998,3.14446,0,0.154288,0.163138,1.61505,0.44128
0.341333333,0.00941008,2.11282,0.103465,0.232838,0.11853,0.189549,3.26978,0.0803112,0.328181,0.145905,1.6445,0.0357089
0.384000000,0.00455108,2.03872,0.121627,0.232561,0.0881249,0.196893,3.28577,0.0934665,0.426706,0.160027,1.56002,0.0260304
0.426666667,0.0343737,2.05601,0.126255,0.230536,0.0640116,0.209117,3.26995,0.122241,0.457933,0.163035,1.51544,0.0251181
0.469333333,0.0812443,2.02526,0.14161,0.233377,0.0538742,0.199445,3.28788,0.107527,0.484523,0.175109,1.4925,0.0146992
0.512000000,0.161092,1.94098,0.10999,0.2248,0.125734,0.231628,3.2998,0.0339404,0.459082,0.0553264,1.39676,0.0427958
0.554666667,0.226265,2.02083,0.0805682,0.045376,0.271771,0.214509,3.16717,0,0.199649,0.184772,1.28397,0.442992
0.597333333,0.312329,2.01964,0.14778,0.0930487,0.278327,0.0315948,3.20725,0,0.00364016,0.41767,1.0563,0.472445
0.640000000,0.369153,2.08784,0.132433,0.233351,0.29066,0.0337109,2.94494,0.0412767,0.0682516,0.737213,1.00432,0.452318
0.682666667,0.269843,2.0415,0.120999,0.250436,0.529508,0.118988,2.88557,0.291007,0.352513,0.85086,0.962359,0.377794
0.725333333,0.23191,2.00135,0.138166,0.178223,0.3997,0.034541,2.96598,0,0.0518969,0.739542,0.94765,0.487442
0.768000000,0.226892,1.99099,0.0706509,0.0751246,0.278229,0.1399,3.06858,0,0.00351553,0.339119,1.16531,0.490104
0.810666667,0.107583,2.14775,0.360553,0.217583,0.0993968,0.453946,3.11557,0,0.362347,0.0905252,1.28129,0.161935
0.853333333,0.0474334,2.37059,0.347112,0.228803,0,0.353703,2.99073,0.0011737,0.883956,0.126034,1.10476,0.146909
0.896000000,0.050277,2.60463,0.0947243,0.329093,0.00563999,0.689087,2.47319,0.00194576,1.70629,0.112078,0.609119,0.179765
0.938666667,0.130476,3.23539,0.0476274,0.300904,0.0152899,1.46964,1.509,0.0157449,2.18994,0.0371907,0.123991,0.158254
0.981333333,0.0777684,3.57311,0.0289705,0.264232,0.0115237,1.93897,0.764116,0.0604204,2.30113,0.0100563,0,0.148907
1.024000000,0.0555467,3.26012,0.0367283,0.013748,0.219556,2.20245,0.795565,0.0325401,2.21523,0.0858722,0.0487717,0.431521
1.066666667,0.0101326,3.44641,0.214638,0.0017664,0.224129,1.68883,0.768353,0.25201,1.67,0.218423,0.0763757,0.301602
1.109333333,0.0353148,3.41528,0.356761,0.00972943,0.172333,1.73519,0.381833,0.264406,1.34889,0.643667,0.126867,0.349445
1.152000000,0.0475147,3.30335,0.322748,0.012613,0.171989,1.66494,0.449554,0.142707,1.19593,0.738001,0.200653,0.415211
1.194666667,0.129789,3.37689,0.211647,0.0129493,0.172737,1.57151,0.42708,0.0244575,1.2578,0.74998,0.209115,0.456366
1.237333333,0.135298,3.52353,0.162388,0.0206784,0.169236,1.88969,0.527272,0.028361,1.42766,0.578025,0.174537,0.426857
1.280000000,0.0248344,3.4171,0.0196979,0.24147,0.138552,2.22058,0.537749,0.0595092,2.03517,0.0554353,0.156064,0.416918
