TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.021333333,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.042666667,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.064000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.085333333,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.106666667,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.128000000,-845.928,8.56869,14.4993,1.23764,-1.04431,-1.141,7.82482,6.12939,-1.34027,4.55742,1.28035,-0.148892,-0.306036,-3.94915,-0.124544,-4.09809,0.513118,4.46087,-0.262792,-2.3153,5.39538
0.149333333,-504.018,8.66198,7.45364,7.56515,3.88463,1.68491,-1.04396,-1.38285,2.44676,4.88605,2.26093,3.78052,1.6502,-1.07727,0.686251,2.04068,-0.457632,1.46522,1.72255,-0.00776048,2.19894
0.170666667,-215.753,21.3678,4.28006,14.6198,-1.6926,6.51828,-0.0115602,1.10743,-2.26422,0.469068,-1.74016,0.438614,-2.40501,-1.01177,-3.51876,-1.9827,-1.89038,0.260924,-0.128198,0.137484,-2.39284
0.192000000,-316.548,44.7262,20.0398,19.5476,8.24791,6.9223,0.766816,3.20059,-0.914267,4.84781,-0.147282,3.91395,2.47749,2.98075,1.47829,3.59136,0.787782,-0.469944,1.88643,-0.988465,0.644233
0.213333333,-346.197,53.5328,32.7172,18.4354,4.14989,4.27741,0.737848,0.0323313,-0.24647,4.54305,-2.00822,5.60658,3.30659,4.26721,4.15123,3.4468,0.727877,-0.779982,2.4235,-0.398725,6.2426
0.234666667,-352.118,54.0789,32.958,15.9389,1.46659,1.21452,-0.202969,-0.0614952,-2.56058,1.92311,-1.32657,3.20263,1.1588,3.60902,2.36465,3.3414,1.17124,-3.48187,1.42808,0.588077,4.84022
0.256000000,-362.358,53.4127,35.9508,15.4817,6.80661,3.71282,4.46732,2.22721,-2.32394,5.99936,-3.52288,5.41647,1.01179,2.63815,6.22265,2.57729,0.244868,-3.54243,-0.211743,-1.24417,5.57007
0.277333333,-354.639,57.3156,33.3366,15.9642,6.27959,-0.746587,1.84848,0.163256,-2.42677,5.57475,-4.34667,5.63539,2.68902,2.52892,4.92905,3.347,1.2137,-1.69836,2.51115,-1.82888,5.02374
0.298666667,-359.4,58.1806,32.3801,12.7089,5.43282,-2.50844,0.270948,1.31092,-7.60137,4.95864,-3.07097,4.30007,-0.498807,1.09941,5.07734,2.30594,-1.46701,-1.8997,2.43927,-2.34402,3.7736
0.320000000,-364.96,54.5552,36.366,14.8695,8.73687,3.62726,3.00663,1.32405,-2.51307,5.8909,-3.31309,4.47021,2.22743,3.00202,5.71191,2.51973,-1.81365,-2.76726,1.38241,-1.87095,5.9773
0.341333333,-369.695,61.4968,35.5497,13.7989,4.96124,-2.86749,-0.0824503,0.0694809,-5.04843,5.32215,-2.8757,2.08343,1.09617,3.90503,4.43334,1.41711,1.07398,-1.66643,0.515899,-0.828794,5.15354
0.362666667,-372.827,61.021,40.3109,10.5202,1.81477,0.83694,-0.846375,-1.04679,-4.53874,4.58409,-3.4012,3.02636,1.63319,1.26171,2.06552,3.24577,-0.384191,-2.67879,0.516088,-0.973735,3.40796
0.384000000,-369.293,55.4721,38.0636,14.6038,5.4529,3.95785,4.08867,0.0282407,-4.73086,8.54641,-5.70941,3.59229,3.81929,3.26693,3.13799,2.50316,0.106646,-3.97388,1.39374,-0.876294,4.36314
0.405333333,-370.775,62.4672,38.6839,8.64934,3.74564,1.25906,-1.57703,-1.80824,-4.03289,5.17472,-5.3946,2.76329,2.80773,1.7555,3.09764,3.12879,-0.708036,-1.97716,1.9026,-0.898534,3.44162
0.426666667,-370.308,61.5737,40.1058,9.04776,1.52858,3.74792,1.29209,-3.00258,-4.17158,5.8166,-4.92767,3.19007,3.71512,0.322343,2.01638,3.5191,-0.453849,-3.12479,0.202435,-0.776473,4.906
0.448000000,-372.825,58.0435,36.8546,14.8112,5.10971,3.56681,4.28837,-1.54015,-5.17668,6.99443,-5.1595,2.31441,4.518,2.99401,2.7895,2.90525,-2.02077,-5.02182,2.83398,0.319129,3.08128
0.469333333,-372.557,64.0827,40.0684,9.60123,1.06968,1.1822,4.20253,-4.0391,-7.43518,8.1943,-5.56386,1.01632,3.69844,3.21374,3.08044,2.30325,0.701147,-2.52621,1.37757,-0.924438,5.34152
0.490666667,-371.883,62.6962,41.1293,7.94457,1.92741,3.62927,-0.118383,-1.87589,-1.61866,3.00176,-5.60274,4.25137,4.11377,0.49845,2.63807,3.24777,-1.67826,-1.96317,0.831644,-2.12431,4.9036
0.512000000,-379.152,60.3729,41.1942,9.93655,4.82294,5.81929,1.05645,-1.81178,-1.72872,4.1435,-7.70418,5.95585,4.24041,0.284084,3.81039,4.09453,-2.17169,-4.12965,1.54947,-1.0383,5.06371
