TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0,0,0,0,0,0,0,0,0,0,0,0
0.256000000,0,0,0,0,0,0,0,0,0,0,0,0
0.298666667,0,0,0,0,0,0,0,0,0,0,0,0
0.341333333,0,0,0,0,0,0,0,0,0,0,0,0
0.384000000,0,0,0,0,0,0,0,0,0,0,0,0
0.426666667,0,0,0,0,0,0,0,0,0,0,0,0
0.469333333,0,0,0,0,0,0,0,0,0,0,0,0
0.512000000,0,0,0,0,0,0,0,0,0,0,0,0
0.554666667,0,0,0,0,0,0,0,0,0,0,0,0
0.597333333,0,0,0,0,0,0,0,0,0,0,0,0
0.640000000,0,0,0,0,0,0,0,0,0,0,0,0
0.682666667,0,0,0,0,0,0,0,0,0,0,0,0
0.725333333,0,0,0,0,0,0,0,0,0,0,0,0
0.768000000,0,0,0,0,0,0,0,0,0,0,0,0
0.810666667,0,0,0,0,0,0,0,0,0,0,0,0
0.853333333,0,0,0,0,0,0,0,0,0,0,0,0
0.896000000,0,0,0,0,0,0,0,0,0,0,0,0
0.938666667,0,0,0,0,0,0,0,0,0,0,0,0
0.981333333,1.19398,0.894224,0.213146,1.18058,0.605747,0.4624,0.493166,0.282989,0.779645,1.57174,0.353413,0.17517
1.024000000,1.51689,0.935692,0.235114,1.99395,0.269578,0.0584758,0.384087,0.25239,0.998139,1.04656,0.283528,0.137833
1.066666667,1.48502,1.01595,0.253196,2.22382,0.190732,0.0360014,0.311589,0.579877,1.24741,0.675377,0.217672,0.0864307
1.109333333,1.42369,1.01979,0.408559,2.25494,0.278981,0.00171254,0.230532,0.738316,1.69894,0.375601,0.119355,0.0192034
1.152000000,1.49476,0.97582,0.573509,2.2312,0.274786,0.00109466,0.195459,0.784395,2.03512,0.175313,0.0610173,0.000423453
1.194666667,1.6866,0.901544,0.742785,2.1131,0.192007,0,0.252895,0.754501,2.25334,0.0832131,0.00507184,0.000392749
1.237333333,1.91544,0.586723,0.797524,2.18207,0,0.0359811,0.52068,0.650315,2.44265,0.125764,0.0381721,4.31162e-05
1.280000000,1.61776,0.248766,0.482031,2.29088,0,0.0427908,1.0075,0.160323,2.65252,0.243178,0.569517,0.000529883
1.322666667,1.19191,0.163881,0.304384,2.40691,0.0235604,0.031662,1.07561,0.0737716,3.11523,0.240006,0.742958,0.000242187
1.365333333,1.22171,0.111676,0.246868,2.43425,0.0335858,0.0236701,0.89294,0.0746223,3.2301,0.179739,0.808168,0.0257881
1.408000000,1.51709,0.0883573,0.319718,2.48651,0.0259392,0.0153137,0.721526,0.0374557,3.27521,0.122831,0.74024,0.0887837
1.450666667,1.41794,0.0609484,0.286748,2.56015,0.0198107,0.0276008,0.600119,0.0358903,3.30045,0.112005,0.386078,0.214369
